"København";"Yemen, Arab.Rep";0
"København";"Yemen demo. folkerep";9
"København";"Asien uoplyst";2
"København";"Australien";600
"København";"Cookøerne";0
"København";"Fiji";1
"København";"Franske besiddelser i Stillehavet";0
"København";"Kiribati";0
"København";"Marshalløerne";0
"København";"New Zealand";149
"København";"Papua Ny Guinea";0
"København";"Salomonøerne";0
"København";"Samoa";2
"København";"Tonga";2
"København";"Tuvalu";0
"København";"Vanuatu";0
"København";"Øst Timor";0
"København";"Øer i Stillehavet";0
"København";"Statsløs";632
"København";"Uoplyst";26
"Frederiksberg";"Danmark";90395
"Frederiksberg";"Albanien";17
"Frederiksberg";"Andorra";0
"Frederiksberg";"Belgien";44
"Frederiksberg";"Bosnien-Hercegovina";145
"Frederiksberg";"Bulgarien";87
"Frederiksberg";"Cypern";4
"Frederiksberg";"Estland";33
"Frederiksberg";"Finland";179
"Frederiksberg";"Frankrig";682
"Frederiksberg";"Grækenland";88
"Frederiksberg";"Hviderusland";15
"Frederiksberg";"Irland";106
"Frederiksberg";"Island";319
"Frederiksberg";"Italien";486
"Frederiksberg";"Jugoslavien (eks.)";154
"Frederiksberg";"Jugoslavien, Forb. Rep.";14
"Frederiksberg";"Kosovo";9
"Frederiksberg";"Kroatien";28
"Frederiksberg";"Letland";45
"Frederiksberg";"Liechtenstein";0
"Frederiksberg";"Litauen";102
"Frederiksberg";"Luxembourg";3
"Frederiksberg";"Makedonien";73
"Frederiksberg";"Malta";4
"Frederiksberg";"Moldova";6
"Frederiksberg";"Monaco";0
"Frederiksberg";"Montenegro";2
"Frederiksberg";"Nederlandene";179
"Frederiksberg";"Nordirland";0
"Frederiksberg";"Norge";869
"Frederiksberg";"Polen";269
"Frederiksberg";"Portugal";95
"Frederiksberg";"Rumænien";119
"Frederiksberg";"Rusland";129
"Frederiksberg";"San Marino";0
"Frederiksberg";"Schweiz";60
"Frederiksberg";"Serbien";14
"Frederiksberg";"Serbien og Montenegro";3
"Frederiksberg";"Slovakiet";16
"Frederiksberg";"Slovenien";15
"Frederiksberg";"Sovjetunionen (eks.)";13
"Frederiksberg";"Spanien";322
"Frederiksberg";"Storbritannien";634
