"symbol","name","sector","industry","curr_close","prev_close","volume","change"
"COOL","Majesco Entertainment Company","Technology","Computer Software: Prepackaged Software","0.67","0.59",1394500,"-13.5593220338983"
"MMYT","MakeMyTrip Limited","Consumer Services","Transport Services","12.85","12.84",9000,"-0.0778816199376919"
"MAKO","MAKO Surgical Corp.","Health Care","Industrial Specialties","10.33","10.59",858400,"2.45514636449481"
"MLVF","Malvern Bancorp, Inc.","Finance","Banks","11.72","11.7",300,"-0.170940170940193"
"MANH","Manhattan Associates, Inc.","Technology","Computer Software: Prepackaged Software","68.28","70.21",232000,"2.74889616863694"
"LOAN","Manhattan Bridge Capital, Inc","Finance","Finance Companies","1.25","1.27",200,"1.5748031496063"
"MNTX","Manitex International, Inc.","Technology","Industrial Machinery/Components","10.05","10.13",100700,"0.789733464955578"
"MTEX","Mannatech, Incorporated","Consumer Durables","Specialty Chemicals","7.82","7.45",1200,"-4.96644295302013"
"MNKD","MannKind Corporation","Consumer Durables","Major Pharmaceuticals","3.87","3.95",5524700,"2.0253164556962"
"MANT","ManTech International Corporation","Consumer Services","Other Consumer Services","26.01","26.69",247800,"2.54777070063694"
"MCHX","Marchex, Inc.","Misc","Business Services","3.98","4.13",137200,"3.6319612590799"
"MARPS","Marine Petroleum Trust","Energy","Oil & Gas Production","14.43","14.45",1400,"0.138408304498272"
"LEDR","Market Leader, Inc","Consumer Services","Advertising","9.33","10.02",170200,"6.88622754491017"
"MKTX","MarketAxess Holdings, Inc.","Finance","Investment Bankers/Brokers/Service","42.04","42.32",317500,"0.661625708884694"
"MRLN","Marlin Business Services Corp.","Finance","Major Banks","23.93","24.23",28900,"1.23813454395378"
"MRTN","Marten Transport, Ltd.","Transport","Trucking Freight/Courier Services","20.16","20.37",95300,"1.03092783505155"
"MMLP","Martin Midstream Partners L.P.","Energy","Oil Refining/Marketing","41.16","41.52",64900,"0.867052023121406"
"MRVL","Marvell Technology Group Ltd.","Technology","Semiconductors","10.9","10.76",10697000,"-1.3011152416357"
"MASI","Masimo Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","19.86","20.06",481000,"0.99700897308076"
"MASC","Material Sciences Corporation","Capital Goods","Industrial Specialties","10.45","10.46",17100,"0.0956022944550772"
"MTRX","Matrix Service Company","Basic Industries","Engineering & Construction","14.9","15.03",304200,"0.864936793080495"
"MAT","Mattel, Inc.","Consumer Non-Durables","Recreational Products/Toys","44.93","45.66",1817800,"1.598773543583"
"MATR","Mattersight Corporation","Consumer Services","Professional Services","4.34","4.68",51200,"7.26495726495726"
"MATW","Matthews International Corporation","Capital Goods","Metal Fabrications","36.3","36.81",182500,"1.38549307253465"
"MFRM","Mattress Firm Holding Corp.","Consumer Services","Other Specialty Stores","37.26","38.32",142400,"2.76617954070982"
"MTSN","Mattson Technology, Inc.","Technology","Industrial Machinery/Components","1.44","1.54",583400,"6.4935064935065"
"MXIM","Maxim Integrated Products, Inc.","Technology","Semiconductors","30.5","30.93",2157500,"1.39023601681215"
"MXWL","Maxwell Technologies, Inc.","Energy","Industrial Machinery/Components","5.6","6.1",408500,"8.19672131147541"
"MAXY","Maxygen, Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch","2.36","2.4",140000,"1.66666666666667"
"MFLR","Mayflower Bancorp, Inc.","Finance","Major Banks",10,"10.18",200,"1.76817288801572"
"MBFI","MB Financial Inc.","Finance","Major Banks","24.27","24.76",306800,"1.97899838449113"
"MCGC","MCG Capital Corporation","Finance","Asset management","5.07","5.14",601700,"1.36186770428014"
"MGRC","McGrath RentCorp","Technology","Diversified Commercial Services","29.2","31.06",162400,"5.98840952994205"
"MDCA","MDC Partners Inc.","Technology","Advertising","16.91","17.09",207800,"1.05324751316559"
"MEAD","Meade Instruments Corp.","Capital Goods","Electronic Components","1.72","1.64",1400,"-4.87804878048781"
"MEAS","Measurement Specialties, Inc.","Capital Goods","Industrial Machinery/Components","41.09","42.77",50200,"3.92798690671031"
"MCOX","Mecox Lane Limited","Consumer Non-Durables","Apparel","3.56","3.33",84900,"-6.9069069069069"
"TAXI","Medallion Financial Corp.","Finance","Finance: Consumer Services","14.13","14.94",194400,"5.42168674698794"
"MDAS","MedAssets, Inc.","Technology","Computer Software: Prepackaged Software","18.13","18.73",453200,"3.20341697811"
"MDCI","Medical Action Industries Inc.","Health Care","Industrial Specialties","8.37","8.13",160700,"-2.95202952029519"
"MNOV","MediciNova, Inc.","Consumer Durables","Major Pharmaceuticals","3.84","3.15",446000,"-21.9047619047619"
"MDSO","Medidata Solutions, Inc.","Technology","Computer Software: Prepackaged Software","66.25","66.36",256500,"0.165762507534661"
