"Hele landet";"Abu Dhabi";0
"Hele landet";"Afghanistan";9779
"Hele landet";"Armenien";350
"Hele landet";"Aserbajdsjan";246
"Hele landet";"Bahrain";9
"Hele landet";"Bangladesh";802
"Hele landet";"Bhutan";494
"Hele landet";"Brunei";2
"Hele landet";"Cambodja";131
"Hele landet";"Dubai";0
"Hele landet";"Filippinerne";7496
"Hele landet";"Forenede Arabiske Emirater";5
"Hele landet";"Georgien";135
"Hele landet";"Hongkong";0
"Hele landet";"Indien";5110
"Hele landet";"Indokina";0
"Hele landet";"Indonesien";771
"Hele landet";"Irak";15160
"Hele landet";"Iran";5546
"Hele landet";"Israel";598
"Hele landet";"Japan";1307
"Hele landet";"Jordan";760
"Hele landet";"Kasakhstan";118
"Hele landet";"Kina";7781
"Hele landet";"Kirgisistan";30
"Hele landet";"Kuwait";41
"Hele landet";"Laos";24
"Hele landet";"Libanon";1481
"Hele landet";"Macau";0
"Hele landet";"Malaysia";385
"Hele landet";"Maldiverne";7
"Hele landet";"Mellemøsten uoplyst";17
"Hele landet";"Mongoliet";49
"Hele landet";"Myanmar (tidl. Burma)";2054
"Hele landet";"Nepal";1691
"Hele landet";"Nordkorea";60
"Hele landet";"Oman";1
"Hele landet";"Pakistan";8556
"Hele landet";"Palæstina";0
"Hele landet";"Qatar";4
"Hele landet";"Saudi-Arabien";8
"Hele landet";"Sikkim";0
"Hele landet";"Singapore";344
"Hele landet";"Sri Lanka";2578
"Hele landet";"Sydkorea";484
"Hele landet";"Syrien";2739
"Hele landet";"Tadsjikistan";15
"Hele landet";"Taiwan";162
"Hele landet";"Thailand";8768
"Hele landet";"Trucial Oman";0
"Hele landet";"Turkmenistan";10
"Hele landet";"Usbekistan";235
"Hele landet";"Vietnam";4057
"Hele landet";"Yemen, Arab.Rep";0
"Hele landet";"Yemen demo. folkerep";51
"Hele landet";"Asien uoplyst";2
"Hele landet";"Australien";1737
"Hele landet";"Cookøerne";0
"Hele landet";"Fiji";6
"Hele landet";"Franske besiddelser i Stillehavet";0
"Hele landet";"Kiribati";0
"Hele landet";"Marshalløerne";0
"Hele landet";"New Zealand";482
"Hele landet";"Papua Ny Guinea";3
"Hele landet";"Salomonøerne";1
"Hele landet";"Samoa";7
"Hele landet";"Tonga";5
"Hele landet";"Tuvalu";0
"Hele landet";"Vanuatu";0
"Hele landet";"Øst Timor";0
"Hele landet";"Øer i Stillehavet";0
"Hele landet";"Statsløs";3522
"Hele landet";"Uoplyst";101
