"id","distance","duration","avg_speed"
267721882,6.5,0.572777777777778,11.3482056256062
267669738,6.72,0.59,11.3898305084746
267669988,9.46,0.923055555555556,10.2485705687632
267673225,15.03,1.44555555555556,10.3973866256726
267673671,6.52,0.595555555555556,10.9477611940298
267721703,10.07,0.920555555555556,10.9390464695232
267721783,18.14,1.70888888888889,10.6150845253576
236779600,8.19,0.734722222222222,11.1470699432892
238136657,8.08,0.714722222222222,11.3050913330742
238870404,5.07,0.424444444444444,11.9450261780105
238738207,5.08,0.414722222222222,12.2491627595445
239227185,13.02,1.29305555555556,10.0691729323308
242471395,8.23,0.73,11.2739726027397
242470736,10.77,0.953055555555556,11.3004954823667
242117734,6.54,0.527777777777778,12.3915789473684
242550394,20.01,1.86444444444444,10.7324195470799
224218860,5.01,0.447222222222222,11.2024844720497
228999357,5.04,0.4475,11.2625698324022
229004361,6.47,0.596388888888889,10.8486259897531
229005948,6.47,0.563888888888889,11.4738916256158
229018318,6.48,0.558055555555556,11.6117471378795
229018871,14.77,1.42416666666667,10.3709771796372
236498002,7.65,0.745277777777778,10.2646291464778
236500133,8.7,0.803888888888889,10.822391154112
231371890,6.5,0.613055555555556,10.6026280018124
232390860,16.13,1.53138888888889,10.5329221839289
236500683,8.08,0.730555555555556,11.0600760456274
207055559,5.02,0.474722222222222,10.5746050321826
208353627,5.02,0.437777777777778,11.4670050761421
165692992,3.16,0.275555555555556,11.4677419354839
169191666,5.02,0.467777777777778,10.7315914489311
170646612,5.02,0.469722222222222,10.6871673565937
170940389,5.02,0.464722222222222,10.8021518230723
171625021,5.03,0.473611111111111,10.6205278592375
115886295,4.64,0.4325,10.728323699422
116269847,4.6,0.450833333333333,10.2033271719039
118174400,4.66,0.4175,11.1616766467066
153259688,4.73,0.418611111111111,11.2992700729927
154946281,4.68,0.443611111111111,10.5497808390733
