"","tax-2000","tax-2001","tax-2002","tax-2003","tax-2004","tax-2005","tax-2006","tax-2007","tax-2008","tax-2009","tax-2010","tax-2011","muni"
"1",0.378914169023167,0.381156537126282,0.370057921214802,0.361713887082152,0.343832055629594,0.336032865718699,0.340602960271624,0.352980994682659,0.363193609464185,0.348158692587596,0.324394106122011,0.320322951258282,"København"
"2",0.398037385903007,0.396834488153777,0.38207075588942,0.374841809426241,0.356536904888699,0.34158134830533,0.344475781907425,0.356842488348341,0.366809093877776,0.349318506239352,0.323000817517735,0.313452088585705,"Frederiksberg"
"3",0.413449488450851,0.409965575868263,0.390231869758263,0.370644367080667,0.34986931769581,0.322198083114715,0.323210207331977,0.312309531744423,0.330590068651813,0.340266343418018,0.301894136381696,0.288426823969992,"Dragør"
"4",0.375921171788673,0.372952957827119,0.358112026582933,0.342252824804486,0.321680709976567,0.304833470693751,0.304196164122048,0.310770849871034,0.322864408688796,0.312438600714346,0.284914661879622,0.279487718611627,"Tårnby"
"5",0.375075217552305,0.3730289512912,0.365157173555255,0.355851985177916,0.335710003596979,0.325092148088946,0.32921127541124,0.331947188616256,0.334171388101983,0.314534306988084,0.290371415138693,0.296658667158944,"Albertslund"
"6",0.385870469910378,0.384178438428057,0.370956933183736,0.360768728689477,0.341518170683924,0.326814330081461,0.327545592439589,0.333482189707028,0.336423514201729,0.334361110439122,0.309357619696463,0.299911383602999,"Ballerup"
"7",0.368153081058053,0.367085967653924,0.356727118653517,0.347325712303843,0.328673766358701,0.320383867896569,0.319284086714106,0.328303115308263,0.3327342869013,0.321763219097776,0.296939956132983,0.290914764036298,"Brøndby"
"8",0.435766957378379,0.437853194630412,0.41620914624521,0.401652824673602,0.376969431865818,0.339076432026467,0.345416481651868,0.350748015122115,0.381502181359392,0.358890846561743,0.331130046579894,0.308246774710525,"Gentofte"
"9",0.380911151870037,0.383000778108489,0.369024836408078,0.357387215696076,0.340555174273869,0.316954718664746,0.318794317085593,0.329698636764791,0.337875545553293,0.335233464301995,0.307389115280047,0.295506033327344,"Gladsaxe"
"10",0.377272384837825,0.377108881249145,0.367284834305441,0.3564953225962,0.335996160938066,0.327105492985476,0.325906633210274,0.329226089499854,0.338243064579407,0.325022530662287,0.298647993991084,0.301030087364629,"Glostrup"
"11",0.370118304097263,0.369196812793248,0.35827577316819,0.348606665734347,0.333331608268924,0.315253211633741,0.315169423789571,0.322889551521759,0.328065222671073,0.319756795517757,0.295018365971875,0.292568273872512,"Herlev"
"12",0.379527634375495,0.378942986737096,0.36701383274698,0.354800875801196,0.336125148751554,0.324176804898428,0.322872150441218,0.32424759603402,0.332597584175663,0.329357737013039,0.304178536663779,0.297152040115492,"Hvidovre"
"13",0.384899189496952,0.383315038983674,0.372571924521828,0.356899865774496,0.336157795935037,0.326290962844852,0.324766392940595,0.332052291281543,0.33768829564561,0.330400449512705,0.300314539424414,0.296651458885942,"Høje-Taastrup"
"14",0.379086582674269,0.375997163623471,0.365853197991999,0.354711770246324,0.33557665786674,0.327279556238039,0.325632765304755,0.326005390139441,0.329467677936485,0.326577446924527,0.30119865363725,0.292411798754478,"Ishøj"
"15",0.401997549302939,0.399692299411511,0.384420608715407,0.370229224980398,0.349730346357015,0.32815818026424,0.330018160370037,0.338445384661659,0.346336903094659,0.339832863909039,0.314913104424393,0.29761490162399,"Lyngby-Taarbæk"
"16",0.376591413205311,0.376138162236668,0.364018617973505,0.350285532905806,0.330696912552134,0.320142902230792,0.319279174151812,0.323002672894519,0.334263337206417,0.326169417751876,0.301530013762273,0.292359495558804,"Rødovre"
"17",0.398296273286566,0.398794004311309,0.385649956820331,0.36896587356422,0.344191984277844,0.321353390875462,0.317649190395362,0.327941437785891,0.336053325334774,0.328420413256102,0.299073942410238,0.292896558232624,"Vallensbæk"
"18",0.417108397453469,0.416387913432543,0.405940265180524,0.39039234749659,0.368180503526975,0.353147313999888,0.345480401598923,0.352979009708295,0.363325797461927,0.35699441812668,0.323631390542948,0.310450863431232,"Allerød"
"19",0.40784653863111,0.408040297565127,0.393305747911685,0.382098260097545,0.358415242078185,0.343212686519756,0.343101743420536,0.340750842479414,0.349829244757962,0.345838518471374,0.313474402730375,0.30284052928717,"Egedal"
"20",0.407345706838093,0.408555178167588,0.394910093404107,0.379033708600067,0.359486915874765,0.344310536778565,0.337029884103968,0.347238705386056,0.356483015235897,0.349092752190262,0.319089996132263,0.316614957750032,"Fredensborg"
"21",0.391269551076348,0.392034918621239,0.380380121195997,0.367651916422834,0.345683568787463,0.333607991000018,0.331480327689419,0.338681262739329,0.34730715567072,0.341401804637794,0.309921977600598,0.307829114835036,"Frederikssund"
"22",0.408131843866992,0.408592118278092,0.391481077504035,0.386294527732442,0.367854430109404,0.345718878242832,0.342958158428784,0.335735992371324,0.354954656588188,0.351166956473286,0.320253867390533,0.30333030653324,"Furesø"
"23",0.383219800833296,0.381375897781637,0.366760139258732,0.353645926615802,0.328904002946153,0.312520544780959,0.307930076381965,0.315243500541914,0.327416078360385,0.325210678780697,0.286836083102659,0.29383351381424,"Gribskov"
"24",0.375122266952658,0.375589827506977,0.366196340212776,0.354912516823688,0.334293108605465,0.315920615601469,0.316303368762385,0.316976842843046,0.324749335363196,0.326662864132713,0.296999634761671,0.301212766810927,"Halsnæs"
"25",0.389034881985459,0.386350523180564,0.378480525032533,0.361887251282354,0.341507552180339,0.330560204219839,0.330385727506609,0.331804862221985,0.341601522726612,0.337048415338264,0.307767591549153,0.298763381916677,"Helsingør"
